Title,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,ScrapeDate,SourceURL
Suzuki Wagon R Custom Z 2025 Car,Suzuki,Wagon,2025,,,,,,2025-11-24,No,,No,No,No,No,8975000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-10809455
Toyota Corona 1986 Car,Toyota,Corona,2025,,,,,,2025-11-24,No,,No,No,No,No,800000,2025-11-24,https://riyasewana.com/buy/toyota-corona-sale-kalutara-10809451
Toyota Corolla AE91 1987 Car,Toyota,Corolla,2025,,,,,,2025-11-24,No,,No,No,No,No,2090000,2025-11-24,https://riyasewana.com/buy/toyota-corolla-ae91-sale-matara-10809448
Toyota Corolla KE72 1986 Car,Toyota,Corolla,2025,,,,,,2025-11-24,No,,No,No,No,No,1275000,2025-11-24,https://riyasewana.com/buy/toyota-corolla-ke72-sale-badulla-10809447
Suzuki Alto 2024 Car,Suzuki,Alto,2024,,,,,,2025-11-24,No,,No,No,No,No,6775000,2025-11-24,https://riyasewana.com/buy/suzuki-alto-sale-nittambuwa-10809446
Nissan ROOX HIGHWAY STAR PROPILOT 2023 Car,Nissan,ROOX,2023,,,,,,2025-11-24,No,,No,No,No,No,8600000,2025-11-24,https://riyasewana.com/buy/nissan-roox-highway-sale-gampaha-10809431
Suzuki Alto Japan 2024 Car,Suzuki,Alto,2024,,,,,,2025-11-24,No,,No,No,No,No,6675000,2025-11-24,https://riyasewana.com/buy/suzuki-alto-japan-sale-nittambuwa-10809418
Toyota Ke20 1974 Car,Toyota,Ke20,2025,,,,,,2025-11-24,No,,No,No,No,No,785000,2025-11-24,https://riyasewana.com/buy/toyota-ke20-sale-ratnapura-10809416
Nissan Sunny B11 1984 Car,Nissan,Sunny,2025,,,,,,2025-11-24,No,,No,No,No,No,1275000,2025-11-24,https://riyasewana.com/buy/nissan-sunny-b11-sale-gampaha-10809386
Toyota DX WAGON 1500 1983 Car,Toyota,DX,2025,,,,,,2025-11-24,No,,No,No,No,No,990000,2025-11-24,https://riyasewana.com/buy/toyota-dx-wagon-sale-puttalam-10809372
Suzuki Wagon R FX Safety 2023 Car,Suzuki,Wagon,2023,,,,,,2025-11-24,No,,No,No,No,No,7475000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-piliyandala-10809347
Nissan Trad Sunny 1989 Car,Nissan,Trad,2025,,,,,,2025-11-24,No,,No,No,No,No,1595000,2025-11-24,https://riyasewana.com/buy/nissan-trad-sunny-sale-homagama-10809328
Suzuki Wagon R Custom ZX 2024 Car,Suzuki,Wagon,2024,,,,,,2025-11-24,No,,No,No,No,No,9200000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-nugegoda-10809313
Suzuki Wagon R FX Safety 2023 Car,Suzuki,Wagon,2023,,,,,,2025-11-24,No,,No,No,No,No,7200000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-kottawa-10809308
Toyota Roomy G Custom 2023 Car,Toyota,Roomy,2023,,,,,,2025-11-24,No,,No,No,No,No,11200000,2025-11-24,https://riyasewana.com/buy/toyota-roomy-g-sale-nugegoda-10809272
Suzuki Wagon R Custom ZX 2025 Car,Suzuki,Wagon,2025,,,,,,2025-11-23,No,,No,No,No,No,8950000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-elpitiya-10802797
BAW E7 2025 Car,Unknown,Unknown,2025,,,,,,2025-11-24,No,,No,No,No,No,4990000,2025-11-24,https://riyasewana.com/buy/baw-e7-sale-gampaha-10809257
Daihatsu Mira LSA3 2023 Car,Daihatsu,Mira,2023,,,,,,2025-11-24,No,,No,No,No,No,6775000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-lsa3-sale-gampaha-10809246
Suzuki Spacia Hybrid G 2023 Car,Suzuki,Spacia,2023,,,Hybrid,,,2025-11-24,No,,No,No,No,No,8190000,2025-11-24,https://riyasewana.com/buy/suzuki-spacia-hybrid-sale-gampaha-10809200
Mitsubishi EK WAGON 2023 Car,Mitsubishi,EK,2023,,,,,,2025-11-24,No,,No,No,No,No,7350000,2025-11-24,https://riyasewana.com/buy/mitsubishi-ek-wagon-sale-kadawatha-10809196
Mazda Suzuki Flair 2024 Car,Suzuki,Flair,2024,,,,,,2025-11-24,No,,No,No,No,No,2000000,2025-11-24,https://riyasewana.com/buy/mazda-suzuki-flair-sale-gampaha-10809174
Nissan Roox Highway Star G Turbo Hybr 2024 Car,Nissan,Roox,2024,,,,,,2025-11-22,No,,No,No,No,No,9450000,2025-11-24,https://riyasewana.com/buy/nissan-roox-highway-sale-colombo-10796475
Toyota Corolla Dx Wagon KE72 1989 Car,Toyota,Corolla,2025,,,,,,2025-11-24,No,,No,No,No,No,975000,2025-11-24,https://riyasewana.com/buy/toyota-corolla-dx-sale-kalmunai-10809108
Toyota Corona 1985 Car,Toyota,Corona,2025,,,,,,2025-11-24,No,,No,No,No,No,112233,2025-11-24,https://riyasewana.com/buy/toyota-corona-sale-anuradapura-10809079
Honda Grand Civic 1987 Car,Honda,Grand,2025,,,,,,2025-11-24,No,,No,No,No,No,1650000,2025-11-24,https://riyasewana.com/buy/honda-grand-civic-sale-kaduwela-10809063
Suzuki Wagon R Fx 2023 Car,Suzuki,Wagon,2023,,,,,,2025-11-24,No,,No,No,No,No,7695000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-panadura-10809043
Nissan Dayz Safety 2023 Car,Nissan,Dayz,2023,,,,,Ja,2025-11-24,No,,No,No,No,No,8190000,2025-11-24,https://riyasewana.com/buy/nissan-dayz-safety-sale-ja-ela-10809040
Nissan B11 1985 Car,Nissan,B11,2025,,,,,,2025-11-24,No,,No,No,No,No,112233,2025-11-24,https://riyasewana.com/buy/nissan-b11-sale-anuradapura-10809039
Mitsubishi EK-X Hybrid Turbo 2023 Car,Mitsubishi,EK-X,2023,,,Hybrid,,Ek,2025-11-24,No,,No,No,No,No,8790000,2025-11-24,https://riyasewana.com/buy/mitsubishi-ek-x-hybrid-sale-kaduwela-10809029
Suzuki Wagon FX 2023 Car,Suzuki,Wagon,2023,,,,,,2025-11-24,No,,No,No,No,No,7650000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-fx-sale-nugegoda-10809026
Suzuki Wagon R FX Safety 2024 Car,Suzuki,Wagon,2024,,,,,,2025-11-24,No,,No,No,No,No,7950000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-10809018
Mitsubishi Lancer C12 1986 Car,Mitsubishi,Lancer,2025,,,,,,2025-11-24,No,,No,No,No,No,650000,2025-11-24,https://riyasewana.com/buy/mitsubishi-lancer-c12-sale-dompe-10809017
Daihatsu Taft G Chrome 2024 Car,Daihatsu,Taft,2024,,,,,,2025-11-16,No,,No,No,No,No,8400000,2025-11-24,https://riyasewana.com/buy/daihatsu-taft-g-sale-kesbewa-10767704
Daihatsu Taft G 2024 Car,Daihatsu,Taft,2024,,,,,,2025-11-24,No,,No,No,No,No,7975000,2025-11-24,https://riyasewana.com/buy/daihatsu-taft-g-sale-kaduwela-10809015
Toyota COROLLA AXIO EX HYBRID 2023 Car,Toyota,COROLLA,2023,,,Hybrid,,,2025-11-24,No,,No,No,No,No,15500000,2025-11-24,https://riyasewana.com/buy/toyota-corolla-axio-sale-gampaha-10809012
Suzuki WAGON R FX SAFETY 2024 Car,Suzuki,WAGON,2024,,,,,,2025-11-24,No,,No,No,No,No,7400000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-10808981
Suzuki Spacia Custom Xs 2024 Car,Suzuki,Spacia,2024,,,,,,2025-11-24,No,,No,No,No,No,9650000,2025-11-24,https://riyasewana.com/buy/suzuki-spacia-custom-sale-nugegoda-10808975
Suzuki Hustler X 2023 Car,Suzuki,Hustler,2023,,,,,,2025-11-24,No,,No,No,No,No,8300000,2025-11-24,https://riyasewana.com/buy/suzuki-hustler-x-sale-matugama-10808954
Suzuki WAGON R FX SAFETY 2023 Car,Suzuki,WAGON,2023,,,,,,2025-11-24,No,,No,No,No,No,7400000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-10808953
Toyota Corolla DX Wagon KE72 1987 Car,Toyota,Corolla,2025,,,,,,2025-11-24,No,,No,No,No,No,1895000,2025-11-24,https://riyasewana.com/buy/toyota-corolla-dx-sale-ratnapura-10808932
Suzuki WAGON R ZX CUSTOM 2023 Car,Suzuki,WAGON,2023,,,,,,2025-11-24,No,,No,No,No,No,8650000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-10808917
Daihatsu Tanto Custom X 2024 Car,Daihatsu,Tanto,2024,,,,,,2025-11-24,No,,No,No,No,No,9150000,2025-11-24,https://riyasewana.com/buy/daihatsu-tanto-custom-sale-piliyandala-10808911
Isuzu Gemini 1988 Car,Isuzu,Gemini,2025,,,,,,2025-11-24,No,,No,No,No,No,1400000,2025-11-24,https://riyasewana.com/buy/isuzu-gemini-sale-panadura-10808905
Suzuki WAGON R ZX CUSTOM 2024 Car,Suzuki,WAGON,2024,,,,,,2025-11-24,No,,No,No,No,No,8800000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-10808897
Mitsubishi Lancer Wagon 1979 Car,Mitsubishi,Lancer,2025,,,,,,2025-11-24,No,,No,No,No,No,495000,2025-11-24,https://riyasewana.com/buy/mitsubishi-lancer-wagon-sale-gampaha-10808895
Suzuki Alto Japan 2024 Car,Suzuki,Alto,2024,,,,,,2025-11-24,No,,No,No,No,No,6750000,2025-11-24,https://riyasewana.com/buy/suzuki-alto-japan-sale-gampaha-10808885
Toyota ROOMY CUSTOM G 2023 Car,Toyota,ROOMY,2023,,,,,,2025-11-24,No,,No,No,No,No,10500000,2025-11-24,https://riyasewana.com/buy/toyota-roomy-custom-sale-gampaha-10808863
Suzuki Spacia 2024 Car,Suzuki,Spacia,2024,,,,,,2025-11-24,No,,No,No,No,No,8400000,2025-11-24,https://riyasewana.com/buy/suzuki-spacia-sale-piliyandala-10808856
Toyota Roomy G 2023 Car,Toyota,Roomy,2023,,,,,,2025-11-24,No,,No,No,No,No,9250000,2025-11-24,https://riyasewana.com/buy/toyota-roomy-g-sale-matugama-10808855
Honda City RS 2025 Car,Honda,City,2025,,,,,,2025-11-24,No,,No,No,No,No,13650000,2025-11-24,https://riyasewana.com/buy/honda-city-rs-sale-boralesgamuwa-10808854
Suzuki Wagon R Custom Z SE 2025 Car,Suzuki,Wagon,2025,,,,,,2025-11-24,No,,No,No,No,No,8850000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-wattala-10808831
Toyota Yaris 2024 Car,Toyota,Yaris,2024,,,,,,2025-11-24,No,,No,No,No,No,9350000,2025-11-24,https://riyasewana.com/buy/toyota-yaris-sale-kadawatha-10808819
Daihatsu Mira 2024 Car,Daihatsu,Mira,2024,,,,,,2025-11-24,No,,No,No,No,No,6700000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-sale-nugegoda-10808810
Daihatsu Mira 2023 Car,Daihatsu,Mira,2023,,,,,,2025-11-24,No,,No,No,No,No,6650000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-sale-nugegoda-10808802
Suzuki Alto L Safety 2024 Car,Suzuki,Alto,2024,,,,,,2025-11-24,No,,No,No,No,No,6950000,2025-11-24,https://riyasewana.com/buy/suzuki-alto-l-sale-boralesgamuwa-10808798
Toyota Corolla KE50 1980 Car,Toyota,Corolla,2025,,,,,Ja,2025-11-24,No,,No,No,No,No,750000,2025-11-24,https://riyasewana.com/buy/toyota-corolla-ke50-sale-ja-ela-10808794
